DiamondFire Sign Name,Terracotta Name
RngTeleport,RandomizedTeleport
RollbackBlocks,RollBackBlockChanges
SaveInv,SaveCurrentInventory
ScoreDefFormat,SetScoreboardDefaultNumberFormat
ScoreLineFormat,SetScoreboardLineNumberFormat
SendAdvancement,SendAdvancement
SendMessage,SendMessage
SendMessageSeq,SendMessageSequence
SendTitle,SendTitle
SendToPlot,SendToPlot
SetAbsorption,SetAbsorptionHealth
SetAirTicks,SetRemainingAir
SetAllowFlight,SetAllowFlight
SetAllowPVP,SetPvPAllowed
SetArmor,SetArmorItems
SetArrowsStuck,SetArrowsStuck
SetBossBar,SetBossBar
SetChatTag,SetChatTag
SetCollidable,SetCollidable
SetCompass,SetCompassTarget
SetCursorItem,SetCursorItem
SetDisguiseVisible,SetOwnDisguiseVisibility
SetDropsEnabled,SetDeathDropsEnabled
SetEntityHidden,SetEntityHidden
SetEquipment,SetEquipmentItem
SetExhaustion,SetExhaustionLevel
SetExp,SetExperience
SetFallDistance,SetFallDistance
SetFireTicks,SetFireTicks
SetFlying,SetFlying
SetFogDistance,SetFogDistance
SetFoodLevel,SetFoodLevel
SetFreezeTicks,SetFreezeTicks
SetGliding,SetGliding
SetHandCrafting,SetAllowHandCrafting
SetHealth,SetCurrentHealth
SetHotbar,SetHotbarItems
SetInvName,SetInventoryMenuName
SetInventory,SetInventoryItems
SetInventoryKept,SetInventoryKept
SetInvulTicks,SetInvulnerabilityTicks
SetItemCooldown,SetItemCooldown
SetMaxHealth,SetMaximumHealth
SetMenuItem,SetInventoryMenuItem
SetNameColor,SetNameColor
SetNamePrefix,SetNameAffix
SetNameVisible,SetNameTagVisible
SetPlayerTime,SetTime
SetPlayerWeather,SetWeather
SetRainLevel,SetRainLevel
SetReducedDebug,SetReducedDebugInfoEnabled
SetRotation,SetRotation
SetSaturation,SetSaturationLevel
SetScore,SetScoreboardScore
SetScoreObj,SetScoreboardObjectiveName
SetShoulder,SetVisualShoulderParrot
SetSidebar,SetSidebarVisible
SetSkin,SetSkin
SetSlot,SetHotbarSlot
SetSlotItem,SetItemInSlot
SetSpawnPoint,SetSpawnPoint
SetStatus,SetStatus
SetStingsStuck,SetBeeStingsStuck
SetTabListInfo,SetTabListInfo
SetTickRate,SetTickRate
SetVelocity,SetVelocity
SetVisualFire,SetVisualFire
SetWorldBorder,SetWorldBorder
SetXPProg,SetXPProgress
ShiftWorldBorder,ShiftWorldBorder
ShowInv,ShowInventoryMenu
SpectateTarget,SpectateTarget
SpectatorCollision,SetSpectatorCollision
SpectatorMode,SetToSpectatorMode
StopSound,StopSounds
SurvivalMode,SetToSurvivalMode
Teleport,Teleport
TpSequence,TeleportSequence
Undisguise,Undisguise
Vibration,DisplayVibrationEffect
WakeUpAnimation,SendWakeUpAnimation
WalkSpeed,SetWalkSpeed
